,기사작성일,기사제목,주가변동
0,2021.01.04,"카카오, 보험사 세운다…정부에 예비인가 신청",0
1,2021.01.04,‘카카오 보험사’ 설립 박차… 금융위에 예비인가 신청,0
2,2021.01.04,남궁훈 “카카오공동체와 게임시너지 낸다”,0
3,2021.01.04,'카카오 보험' 하반기 출범 목표로 시동,0
4,2021.01.04,"경기도, 120콜센터 카카오톡 상담 서비스 시작",0
5,2021.01.04,"님블뉴런 '영원회귀', 카카오게임즈 후원받아 e스포츠로 진화",0
6,2021.01.04,"은행권 수장, 새해 화두는 '네이버·카카오 이겨라'",0
7,2021.01.04,"BBQ, 카카오와 손잡고 ‘MZ세대’ 공략",0
8,2021.01.04,이통사·카카오·네이버·NHN 등에 삼성까지 가세…인증시장 경쟁 격화,0
9,2021.01.04,"카카오, 신분증·자격증·증명서 `카톡`에 담아",0
10,2021.01.04,"성범죄자 정보, 5일부터 카카오톡으로 안내",0
11,2021.01.04,"'선공개·후유료' 카카오TV, 기존 OTT와 다른 길 걷는다",0
12,2021.01.04,"의왕시, 카카오톡 채널 ‘아이쉴드’(위기아동 보호창구) 개설·운영",0
13,2021.01.04,"남궁훈 카카오게임즈 대표 ""다음 목표는 '비욘드 게임'""",0
14,2021.01.04,"카카오페이, 디지털손보사 예비인가 신청...보험업 진출 '첫발'",0
15,2021.01.04,"카카오페이, 디지털손보사 예비인가 신청…업계 '바짝긴장'",0
16,2021.01.04,[낡은규제혁파②]34년된 녹슨 칼로 네이버·카카오 규제하겠다는 정부,0
17,2021.01.04,"카카오페이, 디지털 손해보험사 예비인가 신청 완료",0
18,2021.01.04,"""무엇이든 물어보세요""…경기도, 카카오톡 민원상담서비스 시작",0
19,2021.01.04,"경기도 120콜센터, ""전화 민원상담 카카오톡 이용 가능""",0
20,2021.01.04,남궁훈 카카오게임즈 대표 “카카오공동체+비욘드게임 전략” 강조,0
21,2021.01.04,"카카오게임즈, '영원회귀' 방송 콘텐츠 메인 스폰서 참여",0
22,2021.01.04,"영원회귀, e스포츠 저변 확대 위해 카카오게임즈와 스폰서십 체결",0
23,2021.01.04,"[신년사] 남궁훈 카카오게임즈 ""올해 비욘드 게임 전략 본격 가동""",0
24,2021.01.04,"카카오페이, 디지털 손해보험사 예비인가 신청 완료",0
25,2021.01.04,[2021 테크체인저]⑪'줌'이 주도하는 화상 커뮤니케이션...네이버·카카오는?,0
26,2021.01.04,"120경기도콜센터, 이제 카카오톡으로도 이용하세요!",0
27,2021.01.04,네이버·카카오·더존비즈온 동반 강세...BBIG K-뉴딜지수 상승세 지속,0
28,2021.01.04,"님블뉴런, 영원회귀 이스포츠 저변 확대 위해 카카오게임즈와 스폰서십 체결",0
29,2021.01.04,"""영원회귀 e스포츠 준비""… 님블뉴런-카카오게임즈 스폰서십 체결",0
30,2021.01.04,"""120 경기도콜센터, 이제 카카오톡으로도 이용하세요""",0
31,2021.01.04,"카카오페이, 디지털 손보사 설립 '본격화'…예비인가 신청(종합)",0
32,2021.01.04,"동래구, 카카오톡 통한 '비대면 지방세 상담' 운영",0
33,2021.01.04,"님블뉴런, 카카오게임즈와 스폰서십 체결…'영원회귀' e스포츠 확대",0
34,2021.01.04,"네이버-카카오, K-웹툰 IP로 돈 벌었다…내년 영상화 라인업은?",0
35,2021.01.04,"카카오페이, 디지털 손해보험사 예비인가 신청…""연내 출범 목표""",0
36,2021.01.04,"광주리본택시, 카카오T 대항마 되나 싶었더니",0
37,2021.01.04,"[Ready] [2021] 야놀자·쏘카, 제2의 카카오게임즈 될까?",0
38,2021.01.04,"님블뉴런-카카오게임즈, 스폰서십 맺고 '영원회귀' e스포츠 저변 확대",0
39,2021.01.04,"카카오페이, 보험사 설립…디지털 손보사 예비인가 신청",0
40,2021.01.04,"WI, 카카오프렌즈 '전신형 그립톡' 쿠팡 예약 판매",0
41,2021.01.04,"카카오페이, 디지털 손해보험사 예비인가 신청 완료",0
42,2021.01.04,"카카오페이, 디지털 손해보험사 예비인가 신청…'하반기 출범 목표'",0
43,2021.01.04,"카카오페이, 디지털 손해보험사 예비인가 신청 완료",0
44,2021.01.04,"카카오페이, 디지털 손보사 예비인가 신청",0
45,2021.01.04,"카카오페이, 디지털 손보사 설립 신청…올해 하반기 출범",0
46,2021.01.04,"카카오, 보험시장 도전장…디지털 손보사 예비인가 신청",0
47,2021.01.04,"카카오페이, 디지털 손보사 ""하반기 출범 목표""",0
48,2021.01.04,"카카오페이, 디지털 손해보험사 예비인가 신청 완료",0
49,2021.01.04,"금감원 민원 회신·보이스피싱 통지, 카카오톡으로 확인",0
50,2021.01.12,"ESG위원회 신설하는 카카오, 위원장에 김범수",0
51,2021.01.12,"김범수 의장, 카카오 ESG 경영 이끈다…'ESG 위원회' 신설",0
52,2021.01.12,"""카카오톡인줄 알았네""...메신저 다운로드 공식사이트 위장한 가짜 주의보",0
53,2021.01.12,"네이버파이낸셜, 마이데이터 예비 허가 '맑음' … 카카오페이는 '먹구름'",0
54,2021.01.12,"카카오, 모빌리티·웹툰·핀테크로 올해도 영업이익 성장…목표가↑-NH",0
55,2021.01.12,"카카오, ESG 위원회 신설...환경·사회·지배구조 중심 경영 강화",0
56,2021.01.12,"""카카오"", ESG 경영 강화 나서...이사회 산하 ESG 위원회 신설",0
57,2021.01.12,"카카오페이, 마이데이터 돌파구 열리나…""이달 예비심사 진행 기대""",0
58,2021.01.12,가상자산 지갑 클립에 친구 초대하면 카카오 코인 받는다,0
59,2021.01.12,"카카오게임즈, ‘달빛조각사’ 수집록 시스템 추가",0
60,2021.01.12,"현대오일뱅크, 자영주유소도 카카오페이 결제 도입",0
